Lipid,Sample,Value,DayNight,hours,SubjectID
TG(18:1/22:0/22:0),Subject_1_time_1,2.2602588758967057,day,1.5,Subject_1
TG(54:0),Subject_1_time_1,-7.6449009466062545,day,1.5,Subject_1
PC(O-18:0/20:3),Subject_1_time_1,11.96172423530577,day,1.5,Subject_1
TG(16:0/18:1/18:1),Subject_1_time_1,4.598797983454165,day,1.5,Subject_1
Cer(d18:0/24:0),Subject_1_time_1,-3.5077724777976704,day,1.5,Subject_1
PC(18:2/0:0)_B,Subject_1_time_1,3.947942428183441,day,1.5,Subject_1
TG(15:0/18:1/18:2),Subject_1_time_1,-4.162030365096625,day,1.5,Subject_1
PC(16:0/18:1),Subject_1_time_1,1.6060837863649198,day,1.5,Subject_1
PC(0:0/14:0)_B,Subject_1_time_1,-5.819188734546825,day,1.5,Subject_1
GalCer(d18:1/24:0),Subject_1_time_1,6.985876060259717,day,1.5,Subject_1
PC(16:0/20:4)_A,Subject_1_time_1,-5.010034501908286,day,1.5,Subject_1
TG(16:1/16:1/22:6),Subject_1_time_1,3.8810136485064732,day,1.5,Subject_1
PC(37:5),Subject_1_time_1,0.16017235913214933,day,1.5,Subject_1
PC(O-18:1/18:2),Subject_1_time_1,-2.5366630236053553,day,1.5,Subject_1
PC(17:0/18:2)_B,Subject_1_time_1,1.6625884652721956,day,1.5,Subject_1
TG(18:2/18:2/24:0),Subject_1_time_1,-4.391949196455024,day,1.5,Subject_1
PC(15:0/20:3),Subject_1_time_1,3.916973881585069,day,1.5,Subject_1
SM(d18:2/21:0),Subject_1_time_1,4.455011320063518,day,1.5,Subject_1
TG(16:0/18:0/18:0),Subject_1_time_1,-8.231186542961215,day,1.5,Subject_1
PC(18:0/18:0);PC(16:0/20:0),Subject_1_time_1,-4.97409075675374,day,1.5,Subject_1
TG(54:1),Subject_1_time_1,6.562774550473514,day,1.5,Subject_1
PC(18:2/18:2),Subject_1_time_1,2.197635557201332,day,1.5,Subject_1
TG(54:3),Subject_1_time_1,-3.6877429613973884,day,1.5,Subject_1
TG(56:2),Subject_1_time_1,-7.0620884028719475,day,1.5,Subject_1
SM(d18:1/22:0),Subject_1_time_1,-2.276814203205176,day,1.5,Subject_1
PC(16:1/20:4),Subject_1_time_1,-7.555575372088527,day,1.5,Subject_1
PC(22:0/0:0),Subject_1_time_1,0.5163954437887774,day,1.5,Subject_1
DG(18:0/0:0/18:0),Subject_1_time_1,1.3826730159938827,day,1.5,Subject_1
TG(47:0),Subject_1_time_1,6.8928952979923395,day,1.5,Subject_1
TG(12:0/18:2/20:4),Subject_1_time_1,2.7339657929927803,day,1.5,Subject_1
PC(15:0/18:2),Subject_1_time_1,-1.173137401854571,day,1.5,Subject_1
TG(56:3),Subject_1_time_1,-2.112291987539045,day,1.5,Subject_1
TG(18:1/18:1/23:0),Subject_1_time_1,4.193664450321746,day,1.5,Subject_1
SM(d16:1/14:0),Subject_1_time_1,-1.1244486447876731,day,1.5,Subject_1
PC(P-18:0/22:6)_B,Subject_1_time_1,-4.533654169947951,day,1.5,Subject_1
PC(18:0/18:1),Subject_1_time_1,-2.607811444549769,day,1.5,Subject_1
PC(0:0/16:0)_A,Subject_1_time_1,-9.084306813593455,day,1.5,Subject_1
TG(58:9),Subject_1_time_1,-2.478990546160781,day,1.5,Subject_1
